team,leads,wins,draws,losses,points,points_per_lead,season,games
SV Werder Bremen,17,10,2,5,32,1.88,2022,All Games
FC Augsburg,18,9,4,5,31,1.72,2022,All Games
TSG 1899 Hoffenheim,14,9,2,3,29,2.07,2022,All Games
FC Schalke 04,8,7,1,0,22,2.75,2022,All Games
VfB Stuttgart,12,6,4,2,22,1.83,2022,All Games
VfL Bochum,12,8,3,1,27,2.25,2022,All Games
Hertha BSC,11,6,5,0,23,2.09,2022,All Games
Bayern Munich,13,10,3,0,33,2.54,2022,Home Games
Borussia Dortmund,14,13,0,1,39,2.79,2022,Home Games
RB Leipzig,13,11,1,1,34,2.62,2022,Home Games
1.FC Union Berlin,12,9,3,0,30,2.5,2022,Home Games
SC Freiburg,12,9,2,1,29,2.42,2022,Home Games
Bayer 04 Leverkusen,11,8,2,1,26,2.36,2022,Home Games
VfL Wolfsburg,8,5,2,1,17,2.13,2022,Home Games
1.FSV Mainz 05,10,6,3,1,21,2.1,2022,Home Games
Eintracht Frankfurt,10,7,3,0,24,2.4,2022,Home Games
Borussia Mönchengladbach,10,9,1,0,28,2.8,2022,Home Games
1.FC Köln,7,5,1,1,16,2.29,2022,Home Games
SV Werder Bremen,10,5,1,4,16,1.6,2022,Home Games
FC Augsburg,10,6,3,1,21,2.1,2022,Home Games
TSG 1899 Hoffenheim,8,6,1,1,19,2.38,2022,Home Games
FC Schalke 04,6,5,1,0,16,2.67,2022,Home Games
VfB Stuttgart,7,5,2,0,17,2.43,2022,Home Games
VfL Bochum,8,6,2,0,20,2.5,2022,Home Games
Hertha BSC,9,5,4,0,19,2.11,2022,Home Games
Bayern Munich,13,9,2,2,29,2.23,2022,Away Games
Borussia Dortmund,10,7,2,1,23,2.3,2022,Away Games
RB Leipzig,7,6,1,0,19,2.71,2022,Away Games
1.FC Union Berlin,8,7,1,0,22,2.75,2022,Away Games
SC Freiburg,9,7,2,0,23,2.56,2022,Away Games
Bayer 04 Leverkusen,7,6,1,0,19,2.71,2022,Away Games
VfL Wolfsburg,9,7,2,0,23,2.56,2022,Away Games
1.FSV Mainz 05,7,6,1,0,19,2.71,2022,Away Games
Eintracht Frankfurt,6,4,2,0,14,2.33,2022,Away Games
Borussia Mönchengladbach,7,1,4,2,7,1,2022,Away Games
1.FC Köln,5,4,1,0,13,2.6,2022,Away Games
SV Werder Bremen,7,5,1,1,16,2.29,2022,Away Games
FC Augsburg,8,3,1,4,10,1.25,2022,Away Games
TSG 1899 Hoffenheim,6,3,1,2,10,1.67,2022,Away Games
FC Schalke 04,2,2,0,0,6,3,2022,Away Games
VfB Stuttgart,5,1,2,2,5,1,2022,Away Games
VfL Bochum,4,2,1,1,7,1.75,2022,Away Games
Hertha BSC,2,1,1,0,4,2,2022,Away Games
