team,deficits,wins,draws,losses,points,points_per_deficit,season,games
VfL Wolfsburg,5,0,2,3,2,0.4,2015,Home Games
FC Augsburg,10,0,2,8,2,0.2,2015,Home Games
Hannover 96,13,0,0,13,0,NA,2015,Home Games
VfB Stuttgart,15,2,4,9,10,0.67,2015,Away Games
Hannover 96,16,2,4,10,10,0.63,2015,Away Games
Bayer 04 Leverkusen,10,2,2,6,8,0.8,2015,Away Games
SV Darmstadt 98,9,2,2,5,8,0.89,2015,Away Games
Borussia Dortmund,7,2,1,4,7,1,2015,Away Games
1.FC Köln,9,1,4,4,7,0.78,2015,Away Games
Eintracht Frankfurt,13,2,0,11,6,0.46,2015,Away Games
1.FSV Mainz 05,10,1,2,7,5,0.5,2015,Away Games
FC Augsburg,9,1,2,6,5,0.56,2015,Away Games
SV Werder Bremen,12,1,2,9,5,0.42,2015,Away Games
Bayern Munich,2,1,0,1,3,1.5,2015,Away Games
Borussia Mönchengladbach,13,0,3,10,3,0.23,2015,Away Games
Hamburger SV,8,1,0,7,3,0.38,2015,Away Games
FC Ingolstadt 04,11,0,2,9,2,0.18,2015,Away Games
Hertha BSC,10,0,1,9,1,0.1,2015,Away Games
VfL Wolfsburg,11,0,1,10,1,0.09,2015,Away Games
TSG 1899 Hoffenheim,11,0,1,10,1,0.09,2015,Away Games
FC Schalke 04,8,0,0,8,0,NA,2015,Away Games
FC Augsburg,22,4,4,14,16,0.73,2016,All Games
Bayern Munich,9,4,3,2,15,1.67,2016,All Games
Borussia Dortmund,15,3,6,6,15,1,2016,All Games
TSG 1899 Hoffenheim,13,3,6,4,15,1.15,2016,All Games
SV Werder Bremen,23,3,5,15,14,0.61,2016,All Games
Bayer 04 Leverkusen,23,3,5,15,14,0.61,2016,All Games
1.FSV Mainz 05,22,3,2,17,11,0.5,2016,All Games
Eintracht Frankfurt,20,2,4,14,10,0.5,2016,All Games
1.FC Köln,14,2,3,9,9,0.64,2016,All Games
RB Leipzig,11,2,2,7,8,0.73,2016,All Games
Hamburger SV,20,2,2,16,8,0.4,2016,All Games
Hertha BSC,18,2,1,15,7,0.39,2016,All Games
SC Freiburg,17,2,1,14,7,0.41,2016,All Games
FC Schalke 04,18,1,4,13,7,0.39,2016,All Games
FC Ingolstadt 04,23,1,4,18,7,0.3,2016,All Games
VfL Wolfsburg,21,1,3,17,6,0.29,2016,All Games
Borussia Mönchengladbach,16,1,2,13,5,0.31,2016,All Games
SV Darmstadt 98,26,0,3,23,3,0.12,2016,All Games
Borussia Dortmund,4,2,2,0,8,2,2016,Home Games
1.FSV Mainz 05,10,2,2,6,8,0.8,2016,Home Games
TSG 1899 Hoffenheim,3,2,1,0,7,2.33,2016,Home Games
SV Werder Bremen,11,2,1,8,7,0.64,2016,Home Games
Eintracht Frankfurt,8,1,4,3,7,0.88,2016,Home Games
FC Augsburg,11,1,4,6,7,0.64,2016,Home Games
FC Schalke 04,8,1,3,4,6,0.75,2016,Home Games
Bayer 04 Leverkusen,10,1,3,6,6,0.6,2016,Home Games
Hamburger SV,7,2,0,5,6,0.86,2016,Home Games
Bayern Munich,3,1,2,0,5,1.67,2016,Home Games
FC Ingolstadt 04,11,1,2,8,5,0.45,2016,Home Games
VfL Wolfsburg,11,1,1,9,4,0.36,2016,Home Games
RB Leipzig,4,1,0,3,3,0.75,2016,Home Games
