team,deficits,wins,draws,losses,points,points_per_deficit,season,games
1.FC Union Berlin,11,4,0,7,12,1.09,2022,All Games
Bayer 04 Leverkusen,17,3,3,11,12,0.71,2022,All Games
VfL Wolfsburg,17,2,6,9,12,0.71,2022,All Games
Eintracht Frankfurt,18,2,6,10,12,0.67,2022,All Games
SC Freiburg,12,3,2,7,11,0.92,2022,All Games
VfB Stuttgart,23,1,7,15,10,0.43,2022,All Games
Borussia Dortmund,11,2,2,7,8,0.73,2022,All Games
SV Werder Bremen,22,1,5,16,8,0.36,2022,All Games
1.FSV Mainz 05,15,1,4,10,7,0.47,2022,All Games
FC Schalke 04,20,1,4,15,7,0.35,2022,All Games
Hertha BSC,23,1,4,18,7,0.3,2022,All Games
Bayern Munich,8,1,3,4,6,0.75,2022,All Games
RB Leipzig,12,1,3,8,6,0.5,2022,All Games
TSG 1899 Hoffenheim,21,1,3,17,6,0.29,2022,All Games
Borussia Mönchengladbach,14,1,1,12,4,0.29,2022,All Games
FC Augsburg,18,0,3,15,3,0.17,2022,All Games
VfL Bochum,20,0,1,19,1,0.05,2022,All Games
VfL Wolfsburg,9,1,5,3,8,0.89,2022,Home Games
1.FC Köln,8,2,1,5,7,0.88,2022,Home Games
1.FC Union Berlin,2,2,0,0,6,3,2022,Home Games
Hertha BSC,10,1,3,6,6,0.6,2022,Home Games
Bayern Munich,3,1,2,0,5,1.67,2022,Home Games
1.FSV Mainz 05,7,1,2,4,5,0.71,2022,Home Games
FC Schalke 04,10,1,2,7,5,0.5,2022,Home Games
VfB Stuttgart,9,1,2,6,5,0.56,2022,Home Games
RB Leipzig,4,1,1,2,4,1,2022,Home Games
SC Freiburg,5,1,1,3,4,0.8,2022,Home Games
Bayer 04 Leverkusen,8,1,1,6,4,0.5,2022,Home Games
TSG 1899 Hoffenheim,10,1,1,8,4,0.4,2022,Home Games
Borussia Mönchengladbach,5,1,0,4,3,0.6,2022,Home Games
Eintracht Frankfurt,5,0,2,3,2,0.4,2022,Home Games
Borussia Dortmund,2,0,1,1,1,0.5,2022,Home Games
SV Werder Bremen,11,0,1,10,1,0.09,2022,Home Games
FC Augsburg,7,0,1,6,1,0.14,2022,Home Games
VfL Bochum,7,0,0,7,0,NA,2022,Home Games
Eintracht Frankfurt,13,2,4,7,10,0.77,2022,Away Games
Bayer 04 Leverkusen,9,2,2,5,8,0.89,2022,Away Games
Borussia Dortmund,9,2,1,6,7,0.78,2022,Away Games
SC Freiburg,7,2,1,4,7,1,2022,Away Games
SV Werder Bremen,11,1,4,6,7,0.64,2022,Away Games
1.FC Union Berlin,9,2,0,7,6,0.67,2022,Away Games
1.FC Köln,10,1,3,6,6,0.6,2022,Away Games
VfB Stuttgart,14,0,5,9,5,0.36,2022,Away Games
VfL Wolfsburg,8,1,1,6,4,0.5,2022,Away Games
RB Leipzig,8,0,2,6,2,0.25,2022,Away Games
1.FSV Mainz 05,8,0,2,6,2,0.25,2022,Away Games
FC Augsburg,11,0,2,9,2,0.18,2022,Away Games
TSG 1899 Hoffenheim,11,0,2,9,2,0.18,2022,Away Games
FC Schalke 04,10,0,2,8,2,0.2,2022,Away Games
Bayern Munich,5,0,1,4,1,0.2,2022,Away Games
Borussia Mönchengladbach,9,0,1,8,1,0.11,2022,Away Games
VfL Bochum,13,0,1,12,1,0.08,2022,Away Games
Hertha BSC,13,0,1,12,1,0.08,2022,Away Games
