team_name,season_start_year,stat_group_name,stat_name,shots,goals,xG,against.shots,against.goals,against.xG,time
Eintracht Frankfurt,2021,timing,16-30,69,9,8.582165592350066,66,12,11.206080397590995,NA
Eintracht Frankfurt,2021,timing,31-45,76,9,8.891261615790427,67,5,7.113101391121745,NA
Eintracht Frankfurt,2021,timing,46-60,82,9,8.475260512903333,71,6,8.04336648248136,NA
Eintracht Frankfurt,2021,timing,61-75,83,7,5.869697960093617,72,8,9.57507331110537,NA
Eintracht Frankfurt,2021,timing,76+,82,8,7.1444751638919115,101,9,12.107596186921,NA
Eintracht Frankfurt,2021,shotZone,ownGoals,2,2,2,1,1,1,NA
Eintracht Frankfurt,2021,shotZone,shotOboxTotal,172,7,5.255403351970017,131,6,4.77999278344214,NA
Eintracht Frankfurt,2021,shotZone,shotPenaltyArea,239,25,26.359824283979833,264,33,38.46473010350019,NA
Eintracht Frankfurt,2021,shotZone,shotSixYardBox,37,11,10.493429629132152,38,9,11.920749016106129,NA
Eintracht Frankfurt,2021,attackSpeed,Normal,250,25,21.683497595600784,270,27,33.789939660578966,NA
Eintracht Frankfurt,2021,attackSpeed,Standard,152,15,14.315227360464633,106,10,12.371031992137432,NA
Eintracht Frankfurt,2021,attackSpeed,Fast,31,3,5.585285942070186,40,10,7.8907762579619884,NA
Eintracht Frankfurt,2021,attackSpeed,Slow,17,2,2.524646366946399,18,2,2.113723992370069,NA
Eintracht Frankfurt,2021,result,BlockedShot,134,0,7.2512061623856425,102,0,6.512772408314049,NA
Eintracht Frankfurt,2021,result,SavedShot,94,0,8.802927270531654,116,0,15.006929031573236,NA
Eintracht Frankfurt,2021,result,MissedShots,168,0,11.608674697577953,160,0,14.488670772872865,NA
Eintracht Frankfurt,2021,result,Goal,45,45,14.011266297660768,49,49,18.429349817335606,NA
Eintracht Frankfurt,2021,result,ShotOnPost,9,0,2.4345828369259834,7,0,1.7277498729526997,NA
Eintracht Frankfurt,2020,situation,OpenPlay,328,47,49.92732887715101,327,41,35.36526001151651,NA
Eintracht Frankfurt,2020,situation,FromCorner,74,7,6.429851989261806,61,5,6.00791670801118,NA
Eintracht Frankfurt,2020,situation,SetPiece,31,7,3.7003464456647635,31,2,3.7402082048356533,NA
Eintracht Frankfurt,2020,situation,DirectFreekick,12,0,0.9694726914167404,11,1,0.743960402905941,NA
Eintracht Frankfurt,2020,situation,Penalty,8,8,6.061972796916962,6,4,4.546256840229034,NA
Eintracht Frankfurt,2020,formation,3-4-2-1,207,34,32.887916325591505,154,21,15.745492643676698,1339
Eintracht Frankfurt,2020,formation,3-4-1-2,193,28,27.881118301302195,215,26,27.257472292985767,1322
Eintracht Frankfurt,2020,formation,3-5-2,22,1,1.51202820148319,10,1,0.7029170971363783,141
Eintracht Frankfurt,2020,formation,3-1-4-2,7,1,1.5139182843267918,18,2,2.8384639425203204,94
Eintracht Frankfurt,2020,formation,3-4-3,9,1,0.847822611220181,16,1,1.138502910733223,93
Eintracht Frankfurt,2020,formation,4-5-1,8,1,0.8887469973415136,10,1,0.9116763919591904,92
Eintracht Frankfurt,2020,formation,3-5-1-1,5,1,0.6945761069655418,13,1,1.809076888486743,87
Eintracht Frankfurt,2020,formation,4-4-2,2,2,0.8628459721803665,0,0,0,16
Eintracht Frankfurt,2020,gameState,Goal diff 0,251,31,36.76300792582333,213,20,21.654752532951534,1738
Eintracht Frankfurt,2020,gameState,Goal diff +1,65,14,10.473227141425014,84,15,8.898234109394252,538
Eintracht Frankfurt,2020,gameState,Goal diff -1,66,14,9.51205804105848,42,7,6.279693773016334,382
Eintracht Frankfurt,2020,gameState,Goal diff > +1,38,6,5.89923392329365,67,6,8.873276419006288,378
Eintracht Frankfurt,2020,gameState,Goal diff < -1,33,4,4.441445768810809,30,5,4.697645333129913,148
Eintracht Frankfurt,2020,timing,1-15,66,8,6.849801119416952,69,10,8.684568924829364,NA
Eintracht Frankfurt,2020,timing,16-30,79,12,10.932097814045846,51,4,6.533982501365244,NA
Eintracht Frankfurt,2020,timing,31-45,71,9,11.641883271746337,72,6,5.707707121968269,NA
Eintracht Frankfurt,2020,timing,46-60,78,12,13.56221576128155,74,13,9.936025897040963,NA
Eintracht Frankfurt,2020,timing,61-75,83,16,13.368022515438497,80,9,7.754014004487544,NA
Eintracht Frankfurt,2020,timing,76+,76,12,10.734952318482101,90,11,11.787303717806935,NA
Eintracht Frankfurt,2020,shotZone,ownGoals,6,6,6,2,2,2,NA
Eintracht Frankfurt,2020,shotZone,shotOboxTotal,130,2,4.537847997620702,154,7,4.925939302891493,NA
Eintracht Frankfurt,2020,shotZone,shotPenaltyArea,272,43,40.45548810623586,249,38,35.084506530780345,NA
Eintracht Frankfurt,2020,shotZone,shotSixYardBox,45,18,16.09563669655472,31,6,8.393156333826482,NA
Eintracht Frankfurt,2020,attackSpeed,Normal,288,37,40.76002881489694,278,34,28.133005185984075,NA
Eintracht Frankfurt,2020,attackSpeed,Standard,125,22,17.16164392326027,109,12,15.038342155981809,NA
Eintracht Frankfurt,2020,attackSpeed,Fast,23,5,3.8278659749776125,27,5,4.429916418157518,NA
Eintracht Frankfurt,2020,attackSpeed,Slow,17,5,5.339434087276459,22,2,2.8023384073749185,NA
Eintracht Frankfurt,2020,result,SavedShot,107,0,12.383519827388227,106,0,12.418255685828626,NA
Eintracht Frankfurt,2020,result,MissedShots,169,0,16.4738376038149,190,0,16.314233972225338,NA
Eintracht Frankfurt,2020,result,BlockedShot,101,0,7.823235246352851,81,0,4.948433054611087,NA
Eintracht Frankfurt,2020,result,ShotOnPost,7,0,1.2468502297997475,6,0,0.791465025395155,NA
Eintracht Frankfurt,2020,result,Goal,69,69,29.161529893055558,53,53,15.931214429438114,NA
Eintracht Frankfurt,2019,situation,OpenPlay,359,40,44.93948473967612,327,44,39.48313178867102,NA
Eintracht Frankfurt,2019,situation,FromCorner,94,13,9.466852255165577,63,5,6.268055864609778,NA
Eintracht Frankfurt,2019,situation,SetPiece,32,4,4.279238676186651,30,7,4.53581678122282,NA
Eintracht Frankfurt,2019,situation,DirectFreekick,17,0,0.9781792927533388,20,1,1.08002850972116,NA
Eintracht Frankfurt,2019,situation,Penalty,2,2,1.515472948551178,3,3,2.273168921470642,NA
Eintracht Frankfurt,2019,formation,3-4-1-2,173,20,19.211451545823365,149,18,17.93955218140036,1042
Eintracht Frankfurt,2019,formation,3-1-4-2,126,15,15.203509439714253,104,14,13.408785206265748,706
Eintracht Frankfurt,2019,formation,4-2-3-1,42,3,5.1169687313959,63,13,9.902270786464214,393
Eintracht Frankfurt,2019,formation,4-4-1-1,58,10,7.570953201502562,62,4,5.201549495570362,392
Eintracht Frankfurt,2019,formation,3-5-2,57,6,8.14672533981502,21,5,3.1866828063502908,282
Eintracht Frankfurt,2019,formation,3-4-2-1,37,5,5.342662642709911,22,1,1.3413439998403192,239
Eintracht Frankfurt,2019,formation,4-4-2,4,0,0.13278130255639553,12,3,1.531407319009304,59
Eintracht Frankfurt,2019,formation,4-5-1,5,0,0.3050918038934469,6,2,0.9656957685947418,46
Eintracht Frankfurt,2019,formation,4-1-3-2,2,0,0.14908390492200851,4,0,0.16291430220007896,25
Eintracht Frankfurt,2019,gameState,Goal diff 0,193,18,19.585995790548623,169,25,18.59601118415594,1388
Eintracht Frankfurt,2019,gameState,Goal diff -1,134,10,14.210077823139727,88,17,15.227580881677568,663
Eintracht Frankfurt,2019,gameState,Goal diff +1,69,11,12.027267989702523,85,5,8.002675350755453,441
Eintracht Frankfurt,2019,gameState,Goal diff < -1,74,11,8.87054295791313,53,7,7.393736723810434,391
Eintracht Frankfurt,2019,gameState,Goal diff > +1,34,9,6.48534335102886,48,6,4.4201977252960205,301
Eintracht Frankfurt,2019,timing,1-15,62,5,6.226603161543608,74,7,6.9914895398542285,NA
Eintracht Frankfurt,2019,timing,16-30,66,5,6.006761064752936,62,7,6.93631002958864,NA
Eintracht Frankfurt,2019,timing,31-45,89,6,9.256820583250374,85,11,10.418837589211762,NA
Eintracht Frankfurt,2019,timing,46-60,88,15,11.30439983960241,80,13,8.84225943684578,NA
Eintracht Frankfurt,2019,timing,61-75,75,8,9.494922313839197,74,13,12.664468835107982,NA
Eintracht Frankfurt,2019,timing,76+,124,20,18.889720949344337,68,9,7.786836435087025,NA
Eintracht Frankfurt,2019,shotZone,ownGoals,2,2,2,2,2,2,NA
Eintracht Frankfurt,2019,shotZone,shotOboxTotal,154,2,4.548058144748211,170,7,5.246549041941762,NA
Eintracht Frankfurt,2019,shotZone,shotPenaltyArea,291,30,31.96675130398944,248,41,35.34835739899427,NA
Eintracht Frankfurt,2019,shotZone,shotSixYardBox,57,25,22.66441846359521,23,10,11.045295424759388,NA
Eintracht Frankfurt,2019,attackSpeed,Normal,306,33,37.05420936876908,272,36,30.517804413102567,NA
Eintracht Frankfurt,2019,attackSpeed,Standard,145,19,16.239743172656745,116,16,14.1570700770244,NA
Eintracht Frankfurt,2019,attackSpeed,Fast,28,4,3.9357347022742033,34,5,5.565371366217732,NA
Eintracht Frankfurt,2019,attackSpeed,Slow,25,3,3.949540668632835,21,3,3.399956009350717,NA
Eintracht Frankfurt,2019,result,Goal,59,59,24.305083265528083,60,60,20.734393447637558,NA
Eintracht Frankfurt,2019,result,MissedShots,207,0,17.04693524958566,160,0,12.42768322583288,NA
Eintracht Frankfurt,2019,result,SavedShot,116,0,12.915398188866675,116,0,11.702383102849126,NA
Eintracht Frankfurt,2019,result,BlockedShot,118,0,6.691193310543895,100,0,8.228315085172653,NA
Eintracht Frankfurt,2019,result,ShotOnPost,4,0,0.2206178978085518,7,0,0.5474270042032003,NA
Eintracht Frankfurt,2018,situation,OpenPlay,302,46,45.56175625883043,344,39,40.120950878597796,NA
Eintracht Frankfurt,2018,situation,FromCorner,68,8,9.314269114285707,76,5,8.868895896710455,NA
Eintracht Frankfurt,2018,situation,SetPiece,34,1,4.419591385871172,20,2,3.0434153033420444,NA
Eintracht Frankfurt,2018,situation,DirectFreekick,11,1,0.6032702997326851,16,1,0.9304524902254343,NA
Eintracht Frankfurt,2018,situation,Penalty,4,4,3.0311079025268555,1,1,0.7577769756317139,NA
Eintracht Frankfurt,2018,formation,3-4-1-2,244,32,35.60072275809944,266,24,29.72260843589902,1866
Eintracht Frankfurt,2018,formation,3-1-4-2,110,18,18.937273806892335,79,8,8.596065795049071,677
Eintracht Frankfurt,2018,formation,4-2-3-1,29,4,3.2719237860292196,58,6,6.8066003285348415,350
Eintracht Frankfurt,2018,formation,3-5-2,18,2,3.3956238254904747,35,2,5.167015283368528,190
Eintracht Frankfurt,2018,formation,3-4-3,4,1,0.08379428181797266,10,6,2.8351159002631903,36
Eintracht Frankfurt,2018,formation,4-4-2,10,1,0.7272910010069609,4,1,0.2921706009656191,32
Eintracht Frankfurt,2018,formation,4-3-3,4,2,0.9133655019104481,2,0,0.09751800075173378,13
Eintracht Frankfurt,2018,formation,4-1-2-1-2,0,0,0,3,1,0.2043971996754408,9
Eintracht Frankfurt,2018,gameState,Goal diff 0,177,21,24.500715780071914,221,20,25.26180114969611,1667
Eintracht Frankfurt,2018,gameState,Goal diff +1,77,12,12.13034568913281,64,6,8.02645024843514,493
Eintracht Frankfurt,2018,gameState,Goal diff -1,71,10,10.073173243552446,70,10,8.957089263014495,462
Eintracht Frankfurt,2018,gameState,Goal diff > +1,66,14,13.78807005379349,71,6,5.433017778210342,372
Eintracht Frankfurt,2018,gameState,Goal diff < -1,28,3,2.437690194696188,31,6,6.043133105151355,179
Eintracht Frankfurt,2018,timing,1-15,57,6,6.718797225505114,65,4,6.615107310935855,NA
Eintracht Frankfurt,2018,timing,16-30,55,7,9.314728000201285,73,8,9.34312537778169,NA
Eintracht Frankfurt,2018,timing,31-45,77,14,10.739559430629015,65,7,10.847178872674704,NA
Eintracht Frankfurt,2018,timing,46-60,67,10,12.275971916504204,88,10,10.162925493903458,NA
Eintracht Frankfurt,2018,timing,61-75,70,9,8.249580221250653,68,6,6.775782137177885,NA
Eintracht Frankfurt,2018,timing,76+,93,14,15.631358167156577,98,13,9.977372352033854,NA
Eintracht Frankfurt,2018,shotZone,ownGoals,0,0,0,1,1,1,NA
